,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(Self.Good).7315,3.46692253552,0.305964471578,2.88193114073,3.25438044979,3.45946365898,3.67242804409,4.07701692204,0.00569177118251
v_subj(Self.Bad).7316,1.20514818882,0.244381983989,0.728553639514,1.04314083285,1.20454591277,1.36952433904,1.69092892564,0.00393441047061
v_subj(Self.Good).7316,3.50601154841,0.302324501467,2.92117034561,3.30296610243,3.50645110868,3.71433053967,4.08864051533,0.00532698960939
v_subj(Self.Bad).7317,1.76329309487,0.240596078757,1.30931010861,1.60112413634,1.76095355884,1.92312513684,2.24569909386,0.00328182927092
v_subj(Self.Good).7317,2.61465807044,0.260745410068,2.09684209584,2.4384773519,2.61294757328,2.79338602472,3.12578748471,0.00388400013012
v_subj(Self.Bad).7318,2.55527907167,0.290292431517,1.98196401247,2.36137683781,2.55572946065,2.74806385649,3.110306039,0.00410774627401
v_subj(Self.Good).7318,2.74785496645,0.315450643948,2.13602708872,2.5309394057,2.74674961778,2.95797493287,3.37816843543,0.00519152670077
v_subj(Self.Bad).7319,1.03186837689,0.228032297634,0.595881579621,0.878398723872,1.02632776405,1.18452926713,1.49378453433,0.00358146126629
v_subj(Self.Good).7319,2.9873143879,0.27016760991,2.47101575826,2.8030098543,2.99025856199,3.17111399679,3.52168054175,0.00453613834147
v_subj(Self.Bad).7320,1.98704049452,0.27359695813,1.47008631028,1.8017452546,1.98412070249,2.16671565632,2.53906129493,0.00457176194421
v_subj(Self.Good).7320,2.71897726535,0.321319982902,2.12104871191,2.49757053809,2.70437927207,2.92283193525,3.38390636969,0.00614052701297
v_subj(Self.Bad).7321,2.45883681457,0.289782950106,1.89087048689,2.26187748896,2.45738939937,2.65370396348,3.02725182643,0.00411064893371
v_subj(Self.Good).7321,2.85848631391,0.30337115133,2.27457257459,2.64936210401,2.85491328438,3.0614994748,3.46419587925,0.00487361553925
v_subj(Self.Bad).7322,1.52212018465,0.251995479971,1.03677503992,1.35485899744,1.51839543854,1.69091111321,2.02185579619,0.00579316420073
v_subj(Self.Good).7322,1.77404312276,0.263574650291,1.25817177268,1.59792170517,1.77691837236,1.95141892767,2.29249550804,0.00465945859013
v_subj(Self.Bad).7323,2.1326671168,0.280394552012,1.59456285359,1.94357842885,2.12844855004,2.31773768164,2.70006712446,0.00442379822621
v_subj(Self.Good).7323,3.54935806575,0.323606126933,2.91691429099,3.33158755771,3.54674041904,3.76581760882,4.18789472713,0.00532492618673
v_subj(Self.Bad).7324,2.20143410196,0.270427298734,1.66708402864,2.01815429627,2.20375743923,2.37849792092,2.74167257971,0.00369943720843
v_subj(Self.Good).7324,2.44953259728,0.267987372291,1.93015323542,2.26889867672,2.44840830409,2.62898829026,2.97379500876,0.00408883658155
v_subj(Self.Bad).7325,2.17987666794,0.274675759906,1.63212300164,1.99599730441,2.18195269853,2.36475173309,2.72085780707,0.00460411366435
v_subj(Self.Good).7325,2.98225328626,0.332000176151,2.33813000235,2.75736061874,2.97746499531,3.20343456446,3.63970602653,0.00609663120966
v_subj(Self.Bad).7326,2.72362425015,0.292411247147,2.15555567657,2.52304252335,2.72728131426,2.91689285852,3.3023206867,0.00459399844882
v_subj(Self.Good).7326,3.03590196192,0.309268106541,2.43850502273,2.82602953832,3.03475082402,3.24348190325,3.65776279866,0.00497555606071
v_subj(Self.Bad).7327,2.58880176146,0.266233346347,2.08535297464,2.40606807464,2.58299351027,2.76352228616,3.11303920949,0.00521078260539
v_subj(Self.Good).7327,3.01540200228,0.272069875736,2.49665419634,2.83511893807,3.01051513154,3.19094963619,3.55698207413,0.00539151312296
v_subj(Self.Bad).7328,2.71235321475,0.281921377378,2.16782967056,2.52287405932,2.70956101426,2.90180152365,3.26326235163,0.00383645425408
v_subj(Self.Good).7328,3.66930971096,0.331143372243,3.05314260153,3.44000887119,3.66279649252,3.89045734207,4.33788711209,0.00568224201916
v_subj(Self.Bad).7329,1.11968138224,0.242790345433,0.641950786605,0.957608864437,1.11893126839,1.28458622366,1.59054326848,0.00450140351393
v_subj(Self.Good).7329,2.78799063394,0.296107483363,2.22419081533,2.58332814188,2.77925911427,2.98587301276,3.39828824855,0.00411849252616
v_subj(Self.Bad).7331,1.50935587722,0.231804970649,1.05519137968,1.35097175948,1.50677194912,1.66846695797,1.96447755847,0.0030079226641
v_subj(Self.Good).7331,3.49042861469,0.29102150925,2.90999300172,3.2929186118,3.48600133174,3.68725677832,4.05999842415,0.00501366580206
